id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4438703428357609,IgeQSz4c9,#里皮辞职#中国的联赛办的越好，国家队水平越次，参照足球篮球，因为一个个在联赛都身家千万了，谁还有心思去踢球？看看乒乓球，跳水，等等成绩好的，运动员一个个日子过得最苦！哪像足球篮球的运动员潇洒！ 徐州·云龙华府 ,,,,徐州·云龙华府,2019-11-15,荣耀Magic2 魔法手机,5,2,0,里皮辞职,
4417500424750853,I7lgujVUF,#周杰伦新歌MV彩蛋# 徐州 ,,https://wx3.sinaimg.cn/large/a40212d0ly1g72g1032hoj20u01t04i2.jpg,,徐州,2019-09-17,荣耀Magic2 魔法手机,1,0,0,周杰伦新歌MV彩蛋,
4409668099428217,I43vHDyI1,#香港市民激动斥责涉港不公报道#香港警察应该全副武装，见到暴徒，或者拿着武器的示威者就直接逮捕，拘捕就开枪！你们可以有诉求，不是说的静坐吗？拿着武器干嘛？你们可以静坐去，在大街上拿着武器就是暴徒，直接一波带走！ 徐州·云龙华府 ,,,,徐州·云龙华府,2019-08-26,荣耀Magic2 魔法手机,1,0,0,香港市民激动斥责涉港不公报道,
4404837728466560,I21QMzwxq,#香港医院#香港自从回归之后，在年青一代的教育上缺失太严重了，暴徒都是年轻人，甚至过两天还有教师的集会，有这样的教师，教出来的学生能是什么样的学生？从小的爱国教育得多培养啊！ 徐州 ,,,,徐州,2019-08-13,荣耀Magic2 魔法手机,0,0,0,,
4396316195353020,HEpCHmsz2,周杰伦不容易啊，终于第一了，一天了 一直落后八到十万，现在终于反超了，看来蔡粉囤得积分快抛完了！你们下周怎么办啊？下周可就危险了！ ,,,,,2019-07-21,周杰伦超话,6,23,0,,
4395966189245747,HEgwaCNeX,周杰伦只能做到这样了，老了做不动数据了！ ,,https://wx2.sinaimg.cn/large/a40212d0gy1g55qu3r6a1j20hs0s0jsy.jpg,,,2019-07-20,周杰伦超话,1,2,0,,
